a2b.night_bonus;當你的部隊抵達時，對方將有晚間防守加成！其加成為 {{BONUS}}%。
gid38.name;大倉庫
gid38.einheiten;{{INT}} 資源
gid38.speicher_bei_stufe;等級 {{INT}} 的容量
gid38.speicher_aktuell;目前容量：
gid39.name;大穀倉
gid39.einheiten;{{INT}}份穀物
gid39.speicher_bei_stufe;等級 {{INT}} 的容量
gid39.speicher_aktuell;目前容量：
gid4.name;農場
gid4.aktuelle_produktion;現時產量：
gid4.pro_stunde;{{INT}} 每小時
gid4.produktion_bei_stufe;在等級 {{INT}} 時的生產力
gid4.namePlural;農場
gid4.allPlural;所有農場
gid40.name_title;名稱:
gid40.name;世界奇觀
gid40.name_des_ww;世界奇觀的名字
gid40.wie_soll_ww_heissen;您想怎樣稱呼您的世界奇觀？
gid40.kann_bis_st_geaendert_werden;（在世界奇觀等級11之前還可以更改）
gid40.cannot_be_renamed;必須完成第11級之後，才能重新命名世界奇蹟。
gid41.name;放牧水槽
gid42.name;石牆
gid43.name;臨時牆
gid44.name;指揮中心
gid44.ausbauen;若想找到新的村莊，需要有10級、15級或20級的指揮中心和3開拓者。若想佔領新的村莊，需要有10級、15級或20級的指揮中心和一個重步兵。
gid44.description;指揮中心可保護村莊免遭敵人征服。每個村莊可以建造一個指揮中心。你可在此訓練可建立新村莊或征服現有村莊的單位。
gid44.description_addition_1;此外，指揮中心可在第 10 級、第 15 級和第 20 級提供擴展欄位。 <br><br>指揮中心只能由匈奴人建立。
gid45.name;供水系統
gid45.aktuelle_pr_steigerung;當前獎勵
gid45.prozent;{{INT}}%
gid45.steigerung_bei_stufe;{{INT}}級獎勵
gid45.bonusOasis;綠洲資源
gid45.bonusWaterworks;獎勵
gid45.bonusTotal;每個綠洲的總量
gid45.bonusLevel;獎勵等級
gid46.name;醫院
gid46.troopsTitle;治療傷員
gid46.heal;治療
gid46.healing;正在治療
gid46.noTroopsInHospital;無傷員需要治療。
gid46.WoundedTroops;受傷軍隊
gid46.in_progress;升級中
gid46.boostTroopHealingTitle;提升軍隊治癒
gid46.boostTroopHealingText;提升你的軍隊治癒能力就能減少治療時間{{INT}}小時。一旦啟用，就無法暫停或變更。
gid46.healingTimeReduction;{{PERCENT}}治療時間減少
gid46.boostTroopHealingDialog;一旦啟用，治療時間會減少{{INT}}小時。在這段時間內，你不能選擇其他類型的縮減優惠。<br><br>如果該醫院被摧毀，或者這座村莊被征服，那麼也會失去時間縮減優惠。
gid46.noHospital;村莊裡沒有醫院
gid47.name;防禦牆
gid48.name;醫神神殿
gid49.name;港口
gid49.ships;船隻
gid49.amount;數量
gid49.buildShips;建造船隻
gid49.type_t101;交易船隻
gid49.type_t102;戰艦
gid49.type_t103;誘敵戰艦
gid49.x_type_t101;{{INT}}交易船隻
gid49.x_type_t102;{{INT}}戰艦
gid49.x_type_t103;{{INT}}誘敵戰艦
gid49.maxAvailableShips;船隻數量上限
gid49.overallMaxShipsColon;船隻總數量上限：
gid49.currentMaxShipsColon;現時船隻之數量上限為：
gid49.maxShipsAtLevelColon;於等級 {{INT}} 時船隻的數量上限為：
gid49.ships_amount;{{INT}}艘船隻
gid49.noEnoughDocks;碼頭不足以供船隻停泊
gid49.noEnoughResources;資源不足以建造船隻
gid49.nextShipReadyIn;下一艘船將在 {{ZEIT}} 預備好
gid49.type_t101p;交易船隻
gid49.noHarbour;村莊裡沒有港口。
gid49.type_t102p;戰艦
gid49.type_t103p;誘敵戰艦
gid49.destroyShipsPopupTitle;摧毀{{SHIPS}}
gid49.destroyShipsPopupMessage;你想要摧毀你的{{SHIPS}}嗎？<br>只有目前派駐在這裡的船隻可以被摧毀，擬將不會收回任何資源。
gid49.cancelDestroying;取消
gid49.confirmDestroying;摧毀
gid49.cannotDestroy;你不能摧毀超過目前存在的船隻數量
gid49.selectShipsToDestroy;請選擇要摧毀的船隻
gid49.inService;值勤中
gid49.type_t901;交易船隻
gid49.type_t901p;交易船隻
gid49.type_t902;戰艦
gid49.type_t902p;戰艦
gid49.type_t903;誘敵戰艦
gid49.type_t903p;誘敵戰艦
gid49.x_type_t901;{{INT}}交易船隻
gid49.x_type_t902;{{INT}}戰艦
gid49.x_type_t903;{{INT}}誘敵戰艦
gid49.type_t904;搶奪船隻
gid49.type_t904p;搶奪船隻
gid49.x_type_t904;{{INT}} 艘搶奪船隻
gid5.name;鋸木廠
gid5.aktuelle_pr_steigerung;目前產量提升的百分比：
gid5.prozent;{{INT}}%
gid5.steigerung_bei_stufe;等级 {{INT}} 時的提昇量
gid50.name;障礙物
gid6.name;磚廠
gid6.aktuelle_pr_steigerung;目前產量提升的百分比：
gid6.prozent;{{INT}}%
gid6.steigerung_bei_stufe;等级 {{INT}} 時的提昇量
gid7.name;鋼鐵鑄造廠
gid7.aktuelle_pr_steigerung;目前產量提升的百分比：
gid7.prozent;{{INT}}%
gid7.steigerung_bei_stufe;等级 {{INT}} 時的提昇量
gid8.name;麵粉廠
gid8.aktuelle_pr_steigerung;目前產量提升的百分比：
gid8.prozent;{{INT}}%
gid8.steigerung_bei_stufe;等级 {{INT}} 時的提昇量
gid9.name;麵包店
gid9.aktuelle_pr_steigerung;目前產量提升的百分比：
gid9.prozent;{{INT}}%
gid9.steigerung_bei_stufe;等级 {{INT}} 時的提昇量
goldSpecial.tabTitle;極速角鬥場
goldSpecial.title;Travian 4 極速角鬥場 – 不要錯過!
goldSpecial.body_1;你將有機會以滿足新和獨特的挑戰。<br>體驗最快的Travian 4 伺服器 - Travian 4
goldSpecial.speed_teaser;{{SPEED}}x 極速角鬥場!
goldSpecial.special_features_headline;Travian 極速角鬥場的特別功能:
goldSpecial.special_features_body;戰鬥發生在狹窄的森林中：在一個面積極小在地圖上！這意味著，你的朋友和對手都非常的接近。戰鬥將突然展開!
goldSpecial.special_features_list_1;一個較小的地圖，激烈的戰鬥
goldSpecial.special_features_list_2;玩家限量 (~{{AMOUNT_PLAYERS}})
goldSpecial.special_features_list_3;地圖大小將從半徑 400減少到半徑{{AMOUNT_SIZE}}
goldSpecial.special_features_list_4;每個極速角鬥場玩家將得到600金開始獎勵。
goldSpecial.access_body_1;限制訪問極速角鬥場，只限有訪問代碼方可加入。
goldSpecial.access_body_2;你可在這得到一個珍貴的訪問代碼：
goldSpecial.access_body_list_1;獲取的珍貴的極速角鬥場套裝包plus 選項
goldSpecial.access_body_list_2;極速角鬥場套裝包內含珍貴的訪問代碼
goldSpecial.body_end;預先註冊已經開始了！極速角鬥場的戰鬥已展開！<br>不要浪費任何時間 - 極速角鬥場只餘{{AMOUNT_PLAYERS}}個玩家名額！
goldSpecial.body_greetings;Travian: Legends 團隊
goldSpecial.gold_usage;金幣消費
help.help_system;線上支援系統
help.plus_support;Plus支援
help.contact_support;聯絡線上支援人員
help.contact_support_description;在TRAVIAN 知識庫中可以找到所有的一般性問題的說明，而且快捷方便。另外，你可以聯絡支援人員。一般而言，線上的的支援人員可能須要24小時來處理你的問題。因此在要求線上人員處理之先，我們建議你先查找知識庫的說明。
help.plus_faq;Plus 常見問題集
help.plus_faq_text;查看最常見的問題
help.faq_answers;FAQ - 知識庫
help.faq_answers_text;你可在知識庫內得知很多有關Travian的設定資料。如果當中沒有你想查詢的項目，請聯絡我們的支援人員。
help.game_rules;遊戲規則
help.game_rules_text;這裡您可以查看遊戲規則
help.contact_game_support;聯絡支援
help.contact_game_support_text;如果知識庫沒有你想查詢的項目，請聯絡我們的支援人員。
help.plus_questions;Plus 支援
help.plus_questions_text;在這裡，您可以詢問有關付款方式和Plus特色。 .
help.forum;官方論壇
help.forum_text;很多時候，因為官方的身份問題，我們不便回應你有關攻略的查詢，有關遊戲技巧及操作方面的疑問，於本遊戲的論壇提問可得到資深玩家的幫助及經驗分享。
help.contact_plus_support;聯絡Plus支援
help.contact_plus_support_text;你遇到了問題，但找不到答案？如果你不能找到答案，請聯絡Plus支援。
help.open_faq_answers;FAQ - Travian 知識庫
help.faq_checked;如果知識庫仍不足以為你解決疑問，請聯絡線上支援人員。
help.support_outside;支援
help.support_outside_desc;你可以填寫以下表單，聯絡我們的支援人員。請先花一點時間回應以下的分類問題以便我們能盡快為你處理。請注意：如未能提供有效的回信電郵，我們是無法處理你的查詢。
help.support_outside_success;你的查詢已發送。我們會試著盡快答覆所有支援表單；請耐心等待，你很快就會收到我們的訊息。通常在24小時內即可收到答覆。
help.shortManual;簡單說明
help.shortManualDescription;你可在此獲得有關Travian內的建築及軍隊的簡介。
help.additional_infos;其他資訊
help.additional_infos_text;注意：如果你要刪除頭像，務必在最後一次金幣交易之後等 7 天才能開始刪除程序。
help.overlay;介面協助
help.overlayDescription;介紹介面上不同功能的簡單描述。
help.cannotReachSupportTool;抱歉，當我們嘗試將您轉到我們的客服工具時遇到了問題。
help.tryAgain;請重試
help.supportAndMultihunter;支援人員和遊戲管理員
help.replyReceived;您的問題工單已回覆至
help.discord;Discord
help.discord_text;來我們的官方Discord伺服器上認識其他玩家並與其他玩家聊天
help.helpMenu;幫助選單
help.helpDescription; 尋求幫助嗎？在遊戲中查看所有建築和單位的詳細資訊，或使用我們支援入口網站上的知識庫查詢資訊。請隨時透過客服入口網站直接連絡我們。
help.buildingsAndTroops;建築物和軍隊
help.newPlayers;新玩家
help.paymentSupport;付款支援
help.information;資訊
help.informationDescription;直接在博客上查詢最新消息和變更內容。請務必及時了解遊戲規則。
help.changelogsAndUpdates;變更紀錄與遊戲更新
help.customerServerAndKnowledgeBase;客服和知識庫
help.createTicket;建立工單
help.bePartOfCommunity;成為遊戲社群的一份子
help.openDiscord;打開Discord
help.newsDescription;最新更新、新聞和變更記錄
hero.gold_to_silver_not_allowed;銀幣兌換功能須要先完成{{COUNT}}次冒險方會提供。
hero.auction_not_allowed;拍賣功能須要先完成{{COUNT}}次冒險方會提供。
hero.auction_sell_not_allowed;道具購買功能須要先完成{{COUNT}}次冒險方會提供。
hero.itemNotAllowedToMoveHeroDead;此物品目前不能移動。您必須首先復活您的英雄。
hero.itemNotAllowedToMove;因你的英雄不在村莊或已死亡，你暫不可使用有關的物品。
hero.noItemsInInventory;道具庫內沒有任何物品。
hero.itemDescriptionArtWork;消耗藝術品時，會立即獲得額外的{{INT}}文化點數。這個數值是你的村莊所產生的文化點數的固定分數，但不能超過{{MAX}}。
hero.itemDescriptionArtWorkForSpeedWorlds;如你把這物品交給你的人民，他們會舉行一個特別派對(將增加+{{INT}} 文明點) 而無須城鎮廳及等待任何時間。以三倍服的設定，每次提昇上限為{{MAX}}文明點。
hero.itemDescriptionItemBandage;戰鬥中的傷兵可以直接由英雄救治，如果繃帶的數目足夠，一次最多可救治損失兵力的 {{INT}}% 。您只能根據繃帶的數量救治部隊士兵。救治時間等於這些部隊的回程時間，不過至少要24小時。
hero.itemDescriptionItemBandage_v2;戰鬥中的傷兵可以直接由英雄救治，如果繃帶的數目足夠，一次最多可救治損失兵力的 {{PERCENT}}。您只能根據繃帶的數量救治部隊士兵。救治時間等於這些部隊的回程時間，不過至少要24小時。
hero.itemDescriptionBookOfWisdom;可重置英雄的能力點數。
hero.itemDescriptionBucketOfWater;可立即重生你的英雄。但如果你的英雄不是已死亡，有關道具不可預先裝備。
hero.itemDescriptionCage;你可用以捕捉綠州的動物以協助你防守。
hero.itemDescriptionLawTables;每一法典可額外增加村莊的忠誠1%至最多125%。
hero.itemDescriptionLawTables_v2;每一法典可額外增加村莊的忠誠{{PERCENT}}至最多{{MAX_PERCENT}}。
hero.itemDescriptionOintment;可即時回復英雄的體力。而回復度取決於使用的數量 (最多 100%)。
hero.itemDescriptionOintment_v2;可即時回復英雄的體力。而回復度取決於使用的數量 (最多 {{PERCENT}})。
hero.itemDescriptionScroll;當你使用時，會即時獲得經驗。
hero.itemAttributeInstant;當裝備時即時生效。
hero.itemAttributeStackable;可堆疊的物品。
hero.itemAttributeAfterCombat;須在戰鬥開始前裝備。
hero.itemAttributeCanCancelCombat;不會發生戰鬥，但可能會捕得野生動物。
hero.itemAttributeAllySpeedBonus;{{PERCENTAGE}}可使聯盟成員之間的部隊速度加快。
hero.itemAttributeArmor;可減少 {{INT}} 點損失的體力。
hero.itemAttributeBarracksBonus;可使兵營招兵買馬的時間縮短{{PERCENTAGE}}。
hero.itemAttributeExperienceBonus;{{PERCENTAGE}}更多經驗
hero.itemAttributeHealth;每天{{INT}}點體力
hero.itemAttributeHeroSpeed;把英雄的速度加快至{{INT}}點
hero.itemAttributeHorseSpeed;騎馬的英雄每小時行進{{INT}}塊田地
hero.itemAttributeKp;每天{{INT}}點文明點
hero.itemAttributeNatarsBonus;{{PERCENTAGE}}點對賴達族的攻擊力
hero.itemAttributePower;{{INT}}點英雄戰鬥力
hero.itemAttributeRaidBonus;{{PERCENTAGE}}點掠奪加成
hero.itemAttributeReturnSpeedBonus;返回您的村莊時英雄及所有隨行部隊的速度加快{{PERCENTAGE}}
hero.itemAttributeStableBonus;馬廄的訓練時間縮短{{PERCENTAGE}}。
hero.itemAttributeStaminaSpeedBonus;當距離超過20塊田地時軍隊的基礎速度增加{{PERCENTAGE}}
hero.itemAttributeUnitBonus;對於所有{{UNIT_NAME}}：{{INT}}攻擊和{{INT}}防禦
hero.itemAttributeVillagesSpeedBonus;{{PERCENTAGE}}可使您自己的村莊之間的部隊速度加快。
hero.itemAttributeWorkshopBonus;{{PERCENTAGE}}您自己的村莊之間的部隊速度加快。
hero.attributeHeadProfile;頭部
hero.attributeSkinColor;皮膚顏色
hero.attributeHairColor;頭髮顏色
hero.attributeHairStyle;髮型
hero.attributeEars;耳朵
hero.attributeNose;鼻子
hero.attributeMouth;口部
hero.attributeBeard;鬍鬚
hero.random;隨機
hero.save;保存
hero.buy;購買
hero.sell;出售
hero.bids;競投紀錄
hero.accounting;銀幣紀錄
hero.description;描述
hero.price;價格
hero.time;餘時
hero.auctions;拍賣指示
hero.bid;出價
hero.bidAt;已對 {{AMOUNT}} 個 {{NAME}}作出叫價
hero.notEnoughSilver;銀幣數量不足。
hero.noAuctionsFound;本類別暫沒有拍賣。
hero.bidsCurrent;現有拍賣
hero.bidsOld;已完結的拍賣
hero.finished;已完結
hero.win;已勝出
hero.outbid;超越叫價
hero.change;更改
hero.currentBid;進行中的拍賣：
hero.highestBidder;最高出價者：
hero.maxBid;最高出價：
hero.min;最少出價
hero.production;英雄生產量
hero.BaseProductionTooltip;您的英雄的最基本生產量。
hero.sellSingle;確定出售？
hero.sellMulti;出售 {{AMOUNT}} 個物品？
hero.sellYes;是
hero.sellNo;否
hero.youWouldOutbid;你的叫價被超越。
hero.auctionIsFinished;有關拍賣已完結
hero.sellTitle;確定出售:
hero.headProfile;頭部
hero.skinColor;皮膚顏色
hero.hairColor;頭髮顏色
hero.hairStyle;髮型
hero.ears;耳朵
hero.nose;鼻子
hero.eyes;眼睛
hero.beard;鬍鬚
hero.mouth;口部
hero.eyebrow;眉毛
hero.youHaveMinToBid;銀幣不足。最少須出價 {{BID}} 銀幣。
hero.errorMaxAuctionsSell;你最多可同時進行 {{AMOUNT}} 個拍賣。
hero.errorUserDel;無法進行，因為你的頭像已被刪除。
hero.errorUserLock;無法進行，因為你的頭像目前被封鎖。
hero.errorItemNotPurchasable;不可購買有關物品。
hero.perUnit;每單位
hero.hero;英雄
hero.inventoryTitle;{{PLAYERNAME}} - 等級 {{LEVEL}}
hero.heroHead;頭部
hero.heroBody;身體
hero.heroEditor;外觀
hero.heroInventory;道具庫
hero.heroSettings;能力
hero.heroAdventure;冒險
hero.edit;修改
hero.attributes;能力
hero.attributesTitle;能力
hero.points;點數
hero.off_bonus;攻擊加成
hero.def_bonus;防禦加成
hero.erfahrung;經驗
hero.fightingPower;戰鬥力
hero.fighting_power;戰鬥力
hero.all;全部
hero.resources;資源
hero.moveDialogDescription;可移動物品數：{{INPUTFIELD}}
hero.useDialogDescription;可使用物品數： {{INPUTFIELD}}
hero.moveDialogTitle;移動
hero.useDialogTitle;使用
hero.useOneDialogTitle;是否確定使用有關物品？
hero.yourHeroIsAlive;你的英雄健在。無須使用本道具。
hero.noRefundForRegenerationCosts;你的英雄將因使用道具而即時復活。但已經花了的資源將不予退還！
hero.youCanNotUseThisItem;你暫不可使用有關物品
hero.yourHeroHasFullHealth;你的英雄很健康。
hero.yourHeroHasPointsToSet;使用這本書沒有任何意義。你還沒有分配任何技能點數。
hero.villageHasMaximumAcceptance;有關村莊已達最高忠誠度。已不可再增加。
hero.heroAtLevel;英雄等級 {{LEVEL}}
hero.regenerate;重生
hero.hidden;你的英雄將不會參與村莊的防衛任務。
hero.escapeStatusHide;英雄將會在村莊被攻擊時隱藏起來。
hero.attackBehaviourTitle;已隱藏的英雄：
hero.escapeStatusFight;英雄將會在村莊被攻擊時隱藏起來。
hero.escapeStatusEscape;英雄將會在村莊被攻擊時隱藏起來。
hero.escapeStatusStayWithTroops;英雄將會在村莊被攻擊時與士兵一起行動。
hero.notEnoughResForRegeneration;資源不足以重生英雄
hero.notEnoughCropForRegeneration;請先增加糧食產量。
hero.notEnoughCropProductionForRegeneration;{{VILLAGE}}未能提供足夠穀物產量。請確保這個村莊能提供足夠穀物產量。
hero.makeSureHeroWillNotStarve;負數穀物產量。您的英雄將會餓死。
hero.delete;刪除
hero.deleteInactive;不可以刪除
hero.set_point;設定點數
hero.level;英雄等級
hero.health;體力
hero.changeProduction;更改英雄的生產加成
hero.inventary_buy;購買物品
hero.inventary_sell;出售物品
hero.hero_regenerate;在此村莊重生英雄。
hero.hero_regenerate_here_not_possible;此英雄不能在當前村莊恢復體力。英雄僅可能在村莊裡透過集結點恢復。
hero.onRegenerateTitle;英雄正在 {{VILLAGE}}。重生中 {{COUNTDOWN}}。
hero.filter_helmet;篩選頭部裝備
hero.filter_rightHand;篩選武器
hero.filter_leftHand;篩選用具
hero.filter_body;篩選護甲
hero.filter_shoes;篩選靴子
hero.filter_horse;馬匹
hero.filter_ointment;藥劑
hero.filter_scroll;書卷
hero.filter_bucketOfWater;筒子
hero.filter_lawTables;法典
hero.filter_bookOfWisdom;魔法書
hero.filter_artWork;藝術品
hero.filter_bandage25;小繃帶
hero.filter_bandage33;繃帶
hero.filter_cage;獸籠
hero.itemType_helmet;頭盔
hero.itemType_rightHand;右手
hero.itemType_leftHand;左手
hero.itemType_body;身體
hero.itemType_bag;袋子道具
hero.itemType_shoes;鞋子
hero.itemType_horse;馬匹
hero.itemType_ointment;藥劑
hero.itemType_scroll;書卷
hero.itemType_bucketOfWater;筒子
hero.itemType_lawTables;法典
hero.itemType_bookOfWisdom;魔法書
hero.itemType_artWork;藝術品
hero.itemType_bandage25;小繃帶
hero.itemType_bandage33;繃帶
hero.itemType_cage;獸籠
hero.status100;你的英雄現身在 {{NAME}}。
hero.status101;你的英雄已死亡。
hero.status3Village;你的英雄正在攻擊 {{NAME}}的途中。
hero.status3Oasis;你的英雄正在攻擊 {{NAME}}這個綠州的途中。 .
hero.status4Village;你的英雄正在搶奪 {{NAME}}的途中。
hero.status4Oasis;你的英雄正在搶奪 {{NAME}}這個綠州的途中。
hero.status5Village;你的英雄正前往支援 {{NAME}}。
hero.status5Oasis;你的英雄正前往支援 {{NAME}}這個綠州。 .
hero.status9;你的英雄正在返回 {{NAME}} 的路上。
hero.status40;你的英雄正在回避攻擊中。
hero.status50;你的英雄正前往 {{NAME}} 冒險。
hero.status102;你的英雄被囚禁在{{NAME}}村莊。
hero.status103Village;你的英雄正在 {{NAME}} 協助防守。
hero.status103Oasis;你的英雄正在守護 {{NAME}} 這個綠州。
hero.actionInVillage;英雄正在 {{NAME}} 裡。
hero.actionOnTheWay;英雄之城：{{NAME}}。英雄正在途中。
hero.actionDefendVillage;英雄之城：{{NAME}}。英雄正在 {{NAMETODEFEND}} 防守中。
hero.actionDefendOasis;英雄之城：{{NAME}}。英雄正在綠洲 {{NAMETODEFEND}} 防守中。
hero.actionCaptured;英雄之城：{{NAME}}。英雄正在{{NAMECAPTURED}}被囚禁中。
hero.errorRegenerateMissingRallyPoint;村莊 {{NAME}} 內並沒有集結點。
hero.actionEscape;英雄正在逃走中。
hero.oasis;綠州
hero.speed;速度
hero.productionSpeed;速度：
hero.neededResourcesToRespawn;重生英雄所需要的資源：
hero.fieldsPerHour;單位/小時
hero.heroAttributeTipInfoPower;戰鬥力同時影響英雄本身的攻擊力及防禦力。戰鬥力愈高，在冒險時的效果就愈好。
hero.heroAttributeTipInfoOff;增加一同出擊部隊的攻擊力。
hero.heroAttributeTipInfoDef;增加一同守備的部隊防禦力。
hero.heroAttributeTipInfoRess;增加同村莊的生產力。
hero.heroAttributeTipInfoExp;你的英雄須要額外的 {{NEEDED}} 經驗才可以升至等級 {{LEVEL-NEXT}}。
hero.heroAttributeTipInfoLevel;英雄的等級
hero.heroAttributeTipInfoHealth;體力回復度： 每天{{VALUE}}%
hero.heroAttributeTipInfoSpeed;英雄的速度
hero.heroAttributeTipInfoProduction;英雄的生產量：
hero.againstNatars;對賴達族
hero.tooltipResources;增加同村莊的生產力
hero.perDay;每天
hero.byHero;(英雄自身能力值)
hero.byEquipment;(裝備加成)
hero.bonus;獎勵
hero.fieldsPerHourByHorse;單位／小時（馬匹加成）
hero.fieldsPerHourByNationBenefit;單位／小時（種族加成）
hero.nationBenefit1;每一能力點將在英雄的基礎戰鬥力{{POWERBONUS}}點上再增加 {{DEFAULTBONUS}}點。
hero.nationBenefit2;與英雄一同出擊的部隊都會提昇{{RAIDBONUS}}% 的對山洞搶奪能力。
hero.nationBenefit2_v2;與英雄一同出擊的部隊都會提昇{{RAIDBONUS_PERCENT}}的對山洞搶奪能力。
hero.nationBenefit3;當策乘戰馬時，英雄將額外提昇{{SPEEDBONUS}} 單位／小時的速度。
hero.culturPointsOfAccount;現有文明點:
hero.culturPointsByArtworks;消耗藝術品而獲得的文明點:
hero.culturPointsBeforeUseOfItem;使用前的文明點:
hero.culturPointsAfterUseOfItem;使用後的文明點:
hero.culturPointsInformationAfterUse;在{AMOUNTUSED}個中的{AMOUNTREQUESTED}個藝術品已被使用。
hero.experienceOfHero;現時英雄經驗值:
hero.experienceByScrolls;消耗書卷而獲得的經驗值:
hero.experienceOfHeroBeforeUsOfItem;使用前的經驗值:
hero.experienceAfterUseOfItem;使用後的經驗值:
hero.experienceInformationAfterUse;在{AMOUNTUSED}份中的{AMOUNTREQUESTED}書卷已被使用。
hero.hero_max_level_reached;你的英雄已達等級上限。
hero.theadDate;日期
hero.theadCause;原因
hero.theadAccounting;紀錄
hero.theadBalance;結餘
hero.showBlockedSilverDetails;顯示銀幣使用詳情。
hero.hideBlockedSilverDetails;隱藏銀幣使用詳情。
hero.blockedSilverAuctionCount;銀幣正在 {{INT}} 個拍賣中。
hero.noBlockedSilverinAuctions;銀幣沒有在任何拍賣中。
hero.noAccountingLastXDays;過去 {{INT}} 日內並沒有使用紀錄。
hero.oldBalance;過去結餘（{{DATE}}）：
hero.balanceSince;過去 {{INT}} 日的成交
hero.causeAdventure;冒險
hero.causeChangeGoldToSilver;銀幣兌換中心
hero.causeChangeSilverToGold;金幣兌換中心
hero.causeAuctionSale;出售
hero.causeAuctionBuy;購買
hero.causeAuctionBidPlaced;出價
hero.causeAuctionBidLowered;出價下降
hero.causeAuctionBidRaised;出價上升
hero.causeAuctionOutbid;出價
hero.causeAuctionDeleted;拍賣已被刪除
hero.causeQuest;工作
hero.causeAcp;客戶服務
hero.points_to_set_text;可用點數：
hero.points_to_set_value;{{SETTED}}/{{POINTS}}
hero.toManyPointsSettedOverAll;您嘗試分配 {{POINTS_SETTED}} 點，但結餘只有 {{POINTS}} 點。
hero.toManyPointsSetted_power;您嘗試分配 {{POINTS_SETTED}} 點到戰鬥力，但結餘只有 {{POINTS}} 點。
hero.toManyPointsSetted_offBonus;您嘗試分配 {{POINTS_SETTED}} 點到攻擊力，但結餘只有 {{POINTS}} 點。
hero.toManyPointsSetted_defBonus;您嘗試分配 {{POINTS_SETTED}} 點到防禦力，但結餘只有 {{POINTS}} 點。
hero.toManyPointsSetted_productionPoints;您嘗試分配 {{POINTS_SETTED}} 點到生產力，但結餘只有 {{POINTS}} 點。
hero.noPointsSetted;沒有任何修改。
hero.there_is_no_adventure;這裡沒有冒險。
hero.start_adventure;開始歷險
hero.regenerateTitle;在 {{VILLAGE}} 重生英雄。
hero.deadTitle;您的英雄已死，英雄之城：{{VILLAGE}}
hero.saveChangingsInfo;請保存您的更改
hero.gender;性别
hero.inHomeVillage;在主村內
hero.onTheWay;在路上
hero.onTheWayToSupply;增援到其他村莊
hero.dead;死亡
hero.willBeRegenerated;正在再生
hero.captured;已被俘虜
hero.hero_overview;英雄簡介
hero.auction_na;?
hero.running;進行中
hero.notEnoughItems;沒有足夠的物品（{{MIN_AMOUNT}}件）
hero.canceled;取消
hero.auction_duration;請選擇一件物品。每個拍賣項目可以維持{{MAX_DURATION}}小時。
hero.state;狀態
hero.heroAttributeTipCurrentHealth;當前英雄重生狀態:
hero.waterBucketIsOnCooldown;使用。 距上次使用筒子時間少於{{HOURS}}小時
hero.waterBucketCooldownRemaining;你可以再次使用筒子于
hero.heroAuctionFirstHorseCanNotSell;你不能出售你的第一匹坐騎!
hero.defends;防禦
hero.heroAuctionFirstHorseExchangeForSilver;你想要以{{INT}}個銀幣的價格出售該馬匹？
hero.heroAuctionHorseCanNotSell;你不能出售你的馬匹！
hero.causeSoldHorse;出售馬匹獲得的銀幣
hero.unlockAuctionsWithAdventures;完成{{INT}}次冒險來解鎖拍賣和兌換中心！
hero.heroArrival;到達{{ARRIVAL}}于{{TIME}}
hero.auctionSellNotAllowedLocked;被封停期間不可以賣出物品
hero.auctionSellNotAllowedDeletion;如果頭像被刪除，就無法出售物品。
hero.noRallyPointInTheCurrentVillage;當前村莊沒有集結點。
hero.waterBucketCooldownRemainingWithDateTime;下一個筒子可以在. {{TIME}} {{DATE}}
hero.itemAttributeHeroSpeedWithGaulAdvantage;英雄的速度已經提升至每小時{{INT}}格(已包含高盧種族加成)。
hero.regen_bonus;重生
hero.heroAttributeTipInfoRegen;重生提高英雄的健康度恢復量。
hero.fromRegeneration;來自重生
hero.resetAvailableIn;重置於{{TIME}}
hero.buttonText_resetAttributes;重置屬性
hero.alternateBetweenInfantryCavalry;在步兵和騎兵中選擇
hero.mount;上馬
hero.mounted;已上馬
hero.unmount;下馬
hero.unmounted;已下馬
hero.cannotChangeState;當前速度選擇不可用。
hero.heroInVillage;你的英雄現在在村莊{{NAME}}中
hero.heroCaptured;你的英雄被囚禁于{{NAMECAPTURED}}
hero.heroReturning;你的英雄在歸往{{NAME}}的途中
hero.heroOnTheWay;你的英雄在前往{{NAME}}的途中
hero.heroReinforcingOasis;你的英雄在防禦{{NAMETODEFEND}}的綠洲
hero.heroReinforcingVillage;你的英雄在防禦村莊{{NAMETODEFEND}}
hero.heroIsDead;你的英雄死亡了
hero.heroEscaping;你的英雄在歸往{{NAME}}的途中
hero.heroOnTheWayToAdventure;你的英雄在前往{{NAME}}的冒險途中
hero.heroIsDead_withPunctuation;你的英雄死亡了
hero.homeVillageWas;英雄之城為{{VILLAGE}}。
hero.willBeRevivedIn;英雄將重生于{{VILLAGE}}。
hero.setDifferentVillage;想要更換英雄之城的話，請選擇相應的村莊，並在該村莊內開始重生。
hero.buttonText_revive;重生英雄
hero.notEnoughCropProduction;更換至一個糧食產量為正的村莊，並在該村莊內開始重生。
hero.notEnoughCropProductionStatus;當前村莊的糧食產量為負，英雄重生后有可能會被餓死。
hero.buttonTitle_resetAttributes;重置屬性。在{{AMOUNT}}小時后可以進行下次重置。
hero.heroOnTheWayTo;你的英雄正前往{{LINK}}
hero.warningNegativeCropProduction;當前村莊的糧食產量為負，英雄重生后有可能會被立即餓死。
hero.warningHeroCantBeRevived;英雄無法重生，因為糧食產量不足，英雄重生后有可能會被立即餓死。
